feature,mean_importance
MSZoning_C (all),-0.029833218016361497
BsmtUnfSF,-0.010224363605581743
Exterior1st_VinylSd,-0.003452105402624639
Electrical_FuseA,-0.003384945345802226
Alley,-0.003276688752281931
Neighborhood_BrkSide,-0.00300141903035831
BsmtCond_TA,-0.001244697550533136
Condition1_Norm,-0.0008934261677790544
ExterCond_TA,-0.0007724868729649615
BsmtFinType1_Rec,-0.0006188964441856904
Electrical_SBrkr,-0.0006004419301896214
Neighborhood_Sawyer,-0.0005466288115069772
BsmtFinType2_BLQ,-0.0003935084091942542
Neighborhood_Mitchel,-0.00033082336440077854
RoofStyle_Gambrel,-0.0002212768392030995
GarageCond_Fa,-0.0002084022252895501
FireplaceQu_Po,-0.00015481469327767173
HouseStyle_SLvl,-0.00013087143401708802
PavedDrive_P,-0.00012813383063532414
Fence_GdWo,-8.635103342040651e-05
GarageType_CarPort,-7.007856805723023e-05
BsmtExposure_No,-6.551703223331984e-05
PavedDrive_Y,-6.158265998728041e-05
RoofStyle_Flat,-5.9878501425814076e-05
Fence_GdPrv,-4.9128583100532805e-05
BsmtCond_Fa,-4.1238847370372865e-05
GarageFinish_RFn,-4.03696537458309e-05
KitchenQual_Fa,-4.0181093093227815e-05
Neighborhood_SWISU,-3.954317751029279e-05
GarageType_Basment,-2.0960947917547657e-05
ExterCond_Gd,-1.7243549984158334e-05
ExterQual_Ex,-1.7188527417300038e-05
ExterQual_Gd,-1.2933195460540504e-05
HouseStyle_2.5Unf,-1.1996354216492477e-05
LowQualFinSF,-1.1723418350317871e-05
LotConfig_FR3,-9.388688868661177e-06
LotShape_IR1,-8.950798859164167e-06
MSZoning_FV,-8.253361344401355e-06
Exterior1st_CemntBd,-7.275024141950581e-06
3SsnPorch,-6.6406213855785264e-06
LotConfig_Corner,-4.608585390819542e-06
Neighborhood_Veenker,-2.913925506753401e-06
MSZoning_RH,-2.822288004278306e-06
Exterior1st_Plywood,-1.7919634858643007e-06
RoofStyle_Gable,-1.6785970018418084e-06
HeatingQC_Gd,-1.5673266115179275e-06
Foundation_Stone,0.0
Foundation_Slab,0.0
Foundation_PConc,0.0
Exterior2nd_MetalSd,0.0
BsmtQual_Fa,0.0
BsmtQual_TA,0.0
Exterior1st_ImStucc,0.0
Exterior1st_CBlock,0.0
Exterior1st_BrkComm,0.0
Exterior1st_AsphShn,0.0
BsmtCond_Gd,0.0
Exterior1st_Stone,0.0
Foundation_Wood,0.0
Exterior2nd_AsbShng,0.0
Exterior1st_WdShing,0.0
Exterior2nd_Plywood,0.0
