,setosa,versicolor,virginica
intercept,-0.22732206952742592,1.783720183352315,-1.5563981138248875
sepal length (cm),-1.0394694064728034,0.5513192115259554,0.4881501949468478
sepal width (cm),1.060555977020495,-0.321485267439873,-0.7390707095806209
petal length (cm),-1.650791689708438,-0.3371932990553782,1.9879849887638161
petal width (cm),-1.5206060134617945,-0.752418437183686,2.2730244506454795
