feature,weight
intercept,-1.5063940016367774
age,0.47654238764273466
workclass,-0.08694553446304049
fnlwgt,0.04478309063099527
education,0.06573530529113068
education-num,0.8530107240255936
marital-status,-0.34376535456305524
occupation,0.0030297750114621205
relationship,-0.19462420333278635
race,0.12878951588743423
sex,0.4300913685485979
capital-gain,2.230328060458966
capital-loss,0.2623304897969664
hours-per-week,0.36961014782069723
native-country,0.009792669870685168
