feature,mean_importance
CHAS,0.0
ZN,0.00014975530889649313
PTRATIO,0.0019805437611341457
RAD,0.004277353107441556
TAX,0.004616551519521788
INDUS,0.005773507947147471
AGE,0.010639535208560652
B,0.019598391921613494
DIS,0.041946077548030175
CRIM,0.07711309250502667
NOX,0.12862710075430522
RM,0.13710235856980318
LSTAT,0.3929983518139958
