feature,mean_importance
feature_10,-0.01130661750144606
feature_4,-0.00859527839366685
feature_3,-0.003813251569808096
feature_9,-0.0015183755931633236
feature_7,-0.0009890222518326385
feature_2,0.0
feature_5,0.0
feature_6,0.0
feature_8,0.0
feature_1,0.00014594431250258832
