feature,shap_importance
Sex,1.8181960168506257
Pclass,1.1535305099749291
Name_master,0.5788583591455371
Age,0.30890462294545007
Name_mr,0.24821181549489524
Name_mrs,0.23903790140983044
Embarked_S,0.209284251520791
Ticket_382652,0.2060330466201555
Name_john,0.20428865061121737
Name_anna,0.17592701487597334
Parch,0.17252715576208588
Cabin,0.1711369391357779
Ticket_2343,0.1610786958127224
Ticket_pc,0.15687699708394146
Ticket_ston,0.1338148395822442
Name_joseph,0.12937864469634955
Name_henry,0.09581026868063584
SibSp,0.09188400908427656
Name_margaret,0.09055758683289704
Embarked_Q,0.08238804759359251
Ticket_14879,0.07707263911096603
Ticket_1601,0.0768637602669243
Name_maria,0.07173897551950975
Ticket_347082,0.07064577416586722
Name_gustaf,0.06460142245804076
Ticket_349909,0.05827067730636265
Name_thomas,0.057384723713890085
Ticket_113760,0.05722661913022157
Name_bertha,0.05696892756441473
Ticket_ca,0.056723360606280374
Name_leonard,0.05600246185878899
Ticket_4133,0.05507947510411548
Name_charles,0.054998106605632924
Name_jr,0.05397377562096902
Name_rev,0.052983504285869655
Name_samuel,0.05101456100337784
Ticket_347088,0.04813462561762658
Name_mary,0.04756350587341038
Name_george,0.046335214180093294
Ticket_oq,0.04463543786176104
Name_ernest,0.04446804483648309
Name_panula,0.04400901202244419
Name_ernst,0.043727939314133796
Name_jane,0.042487693409581896
Ticket_3101295,0.04229036101813797
Name_karl,0.04195016230561072
Name_victor,0.04190795278791977
Name_andersson,0.04116309490152762
Name_annie,0.04059880872965391
Name_marie,0.03977783305364072
Name_arthur,0.03953210544428274
Name_skoog,0.03802812060454275
Name_alfred,0.03773214099198004
Name_david,0.037430469382139536
Ticket_347742,0.03717635102495856
Name_richard,0.03690987873608431
Ticket_17474,0.03594235350893741
Name_alexander,0.03587727758701412
Ticket_2666,0.03566817322762969
Name_sofia,0.03561019109878218
Name_ada,0.03482648664582618
Name_elsie,0.03465905005394276
Name_dr,0.033064012310723666
Ticket_2144,0.03271269164089903
Name_catherine,0.032635559455824484
Name_hansen,0.031013376435653967
Name_walter,0.030972898763837294
Ticket_line,0.03092241178900802
Ticket_pp,0.03091516068127196
Name_eugene,0.028990575087853226
Name_peter,0.028971005319052615
Ticket_113781,0.027378093229406826
Name_goodwin,0.027129122834398865
Name_johan,0.02646174140201011
Name_august,0.026314164124353605
Name_emily,0.026209276381613304
Name_olsen,0.025574164747938288
Name_ford,0.025333768357861268
Name_albert,0.02477549271814967
Name_anne,0.02439521456922914
Ticket_17582,0.024257246235455193
Ticket_2653,0.024101685973559626
Ticket_13529,0.023326619431809695
Ticket_347080,0.022543371573691687
Name_nils,0.021772025284640784
Name_robert,0.02050621626969382
Ticket_17453,0.020487139888067333
Ticket_6608,0.02038254686128012
Name_katherine,0.02019312415878613
Ticket_2908,0.02015442468128691
Ticket_248727,0.019760944626230154
Name_hanna,0.019432180269936376
Name_carter,0.018987792286127063
Name_rene,0.018795986762341822
Ticket_paris,0.0183001362371218
Ticket_2668,0.018148723225106498
Ticket_113806,0.017913970259359042
Ticket_sc,0.017804430785907106
Ticket_17485,0.01776766986285328
Name_madeleine,0.017499088499745966
Ticket_11668,0.01727666583783994
Fare,0.017250300915981346
Ticket_110465,0.01716949395377567
Name_brown,0.01710222964652258
Name_ivan,0.01696858456163583
Name_norman,0.01678215756554227
Name_smith,0.016613789892989304
Ticket_soton,0.016264397570815606
Ticket_2665,0.016139216033122707
Name_frederick,0.015418992094791478
Name_arnold,0.015245452915110657
Ticket_17421,0.015204710738875355
Name_borland,0.015115855647703954
Ticket_17761,0.01454238700096089
Ticket_370129,0.014460861094767765
Name_juha,0.014435490145198526
Ticket_o2,0.014320561229220605
Ticket_239853,0.014184540929949552
Ticket_2691,0.014181893488530975
Name_emil,0.014143518908705683
Ticket_244252,0.014133132083816774
Name_thayer,0.014068131052851296
Name_mabel,0.013822288508263565
Name_alice,0.013530036814816763
Ticket_11967,0.013306740102505009
Ticket_2651,0.012532349893563166
Ticket_17611,0.01242612807050807
Name_elias,0.012401699598210391
Ticket_110152,0.01225123963848526
Name_kelly,0.012158840848718796
Name_michael,0.01193648828211687
Name_vander,0.01150666498163229
Name_francis,0.011376787190483911
Ticket_13502,0.011363419321503207
Ticket_37671,0.011334365338540216
Ticket_24160,0.010904565993770633
Ticket_36928,0.010439770889122136
Ticket_35273,0.010384621765762384
Name_james,0.010194067976362645
Name_fortune,0.010144979626531393
Ticket_230080,0.010120150068378271
Name_edward,0.010087131802393828
Name_tannous,0.009800344082545346
Ticket_29106,0.009407538938259193
Ticket_17757,0.009144065677924947
Ticket_17569,0.009042167165047894
Ticket_349237,0.008990554090254947
Name_louise,0.00886384102300192
Ticket_17477,0.008811991127174732
Name_ellen,0.008727332735532282
Ticket_26360,0.00863446395157473
Ticket_17608,0.008389800352865144
Ticket_19928,0.007850429111485452
Ticket_248738,0.007546164416652455
Name_jensen,0.007440227280052421
Ticket_2699,0.0074147199155442135
Name_jakob,0.007221182157409634
Ticket_31921,0.0070543614982262436
Ticket_358585,0.007054024307426224
Ticket_250647,0.00698135088334519
Ticket_17604,0.00691209986780808
Name_patrick,0.0068992718344606276
Ticket_371110,0.0068254310564581635
Ticket_7534,0.0065075027590056535
Ticket_13507,0.006506521091364749
Ticket_370365,0.006467725764891831
Ticket_111361,0.006428459316054207
Name_william,0.006382030218646645
Name_harry,0.006033674019574815
Ticket_349208,0.006030275820150341
Ticket_36947,0.0059116998741197335
Name_planke,0.00567646025030967
Name_johnson,0.005371334076446259
Ticket_113803,0.005238494858355841
Ticket_31027,0.005103045281565983
Ticket_17760,0.004970233014957408
Ticket_12749,0.004908522168792382
Embarked_C,0.0048371233254590655
Ticket_2673,0.00470578910740332
Ticket_250644,0.004695921535396213
Name_campbell,0.004032650925443761
Ticket_54636,0.0040137974418294415
Name_daniel,0.0038863357611130995
Name_frank,0.003736631836525416
Ticket_237736,0.0037231301435968465
Ticket_2123,0.00362155402317347
Ticket_ah,0.003588884362104055
Ticket_367230,0.003350364989427404
Ticket_231919,0.0033225690359750715
Name_meyer,0.003183977743098267
Ticket_33112,0.002991164700904208
Name_elisabeth,0.002886598719723133
Name_laroche,0.0026233780349285895
Ticket_16966,0.0025663527700770595
Ticket_19877,0.0023188612549215233
Name_martin,0.0021768203640332843
Name_williams,0.002171312512852866
Ticket_345764,0.0019845382353433907
Ticket_110413,0.0019792187894303696
Name_taussig,0.0018017496923489903
Ticket_244367,0.0015919876474511383
Ticket_3381,0.0013224267201391309
Name_elizabeth,0.0012865973717024028
Name_miss,0.000956176437849777
Ticket_3101279,0.000779985389961397
Ticket_34651,0.0003974674224006832
Ticket_19950,0.000253937808927299
Ticket_113776,0.00018464493376913388
Ticket_2659,0.0001539321669780567
Name_helen,0.00011085370113660697
