,setosa,versicolor,virginica
intercept,-0.20749928757512862,1.7573485874222405,-1.549849299847108
sepal length (cm),-0.9410166645343498,0.44974956887558104,0.49126709565876947
sepal width (cm),1.0432142921576737,-0.42856271782377353,-0.6146515743339012
petal length (cm),-1.746653988475935,-0.2312314730369518,1.9778854615128876
petal width (cm),-1.6538956457428502,-0.7208679892796701,2.3747636350225205
