feature,shap_importance
LSTAT,0.4012955396951376
NOX,0.18489905829386774
RM,0.17858459502754678
CRIM,0.10879962053734243
DIS,0.07690231519799416
AGE,0.07392329343078714
B,0.051615892390020235
PTRATIO,0.04754046804955394
TAX,0.042281934875446306
RAD,0.03088223267112833
INDUS,0.018158309898926354
ZN,0.0019019190110212956
CHAS,0.0
